isVegi;vegiLabel;name;content
"0";"fleisch";"WOK STREET";"NOBITA Bio Black Tiger Crevetten oder Schweizer Schwein Teriyakisauce  Pfälzer, Kürbis, Rettich, Edamame Bohnen Jasminreis  Add on: Fried Rice (+1.00/1.50)"
"1";"vegi";"WOK GREEN";"SCHISUKA Geräucherter Bio Tofu Teriyakisauce  Pfälzer, Kürbis, Rettich, Edamame Bohnen Jasminreis  Add on: Fried Rice (+1.00/1.50)"
"0";"fleisch";"DELIGHT";"KRUNG THEP Schweizer Pouletgeschnetzeltes  mit Thailändischer roter Currysauce Reisnudeln Kürbis, Erbsen und Honig  Add on: XXL (+1.00/1.50)"
"1";"vegi";"GARDEN";"YAKISOBA Gebratene Ramennudeln - Japan Style Kürbis, Chinakohl, Zwiebeln, Peperoni, Lauch  Add on: XXL (+1.00/1.50)"
"0";"fleisch";"Pasta";"Pasta al pomodoro con salame e peperoni Pasta an Tomatensauce mit Salami und Peperoni"
"1";"vegi";"Vegan Pot & Spoon";"Vegan Pot & Spoon, Kichererbsen Spinat Curry mit Kokosmilch Basmati Reis"
"1";"vegi";"Veggie";"Klimamontag, Gebratenes Gemüse mit Chili, Couscous, Harissa Dip, Tagessalat"
"1";"vegi";"Mezze";"Mezze Buffet, Wählen Sie aus vielen authentischen Gerichten Verrechnung über die Waage"
"0";"fleisch";"Classic";"Schweinsgeschnetzeltes (CH) mit Champignons und Silberzwiebeln, Gnocchi mit Salbei, Rosenkohl"
"0";"fleisch";"Ell";"Rinds Hackbällchen (CH), Barbecue Sauce, Ofenkartoffeln, Maisgemüse"
"1";"vegi";"Bowl Green";"Dim Sum mit Edamame, Karotten,  Pak Choi, Sojasprossen, Avocado, Koriander, Ingwer und Chili Quinoa oder Sobanudeln Teryaki-Sauce oder Miso-Bouillon"
"0";"fleisch";"Bowl Meat";"Chicken mit Edamame, Karotten,  Pak Choi, Sojasprossen, Avocado, Koriander, Ingwer und Chili Quinoa oder Sobanudeln Teryaki-Sauce oder Miso-Bouillon"
"0";"fleisch";"Bowl Fish";"Crevetten mit Edamame, Karotten,  Pak Choi, Sojasprossen, Avocado, Koriander, Ingwer und Chili Quinoa oder Sobanudeln Teryaki-Sauce oder Miso-Bouillon"
"0";"fleisch";"LOCAL";"Truthahn Piccata mit Tomatensugo Tagliatelle Champignons mit Balsamico"
"1";"vegi";"STREET";"Grillierter Kräuterkäse im Ciabattabrot, Antipasti, Rucola und Tzatziki Pommes frites"
"1";"vegi";"GARDEN";"Tandoori Chickpea & Sweet Potatoes mit Lattich Limettenreis"
"0";"fleisch";"HOME";"Metzger-Rösti mit verschiedenen Fleischsorten, und gerösteten Zwiebeln Tagessalat"
"0";"fleisch";"Trailer Signature";"Pita Gyros Gefülltes Pitabrot  mit Schweins- oder Pouletgyros Tzazikisauce, Kabis, Gurken, roten Zwiebeln  und Pommes frites"
"0";"fleisch";"Trailer Special";"Truthahn Piccata mit Tomatensugo Tagliatelle Champignons mit Balsamico"
"1";"vegi";"Trailer Vegetarian";"Tandoori Chickpea & Sweet Potatoes mit Lattich Limettenreis"
"1";"vegi";"Vegi Menü";"Risotto  al arrabbiata an scharfe Tomatensauce Reibkäse Tagessalat "
"0";"fleisch";"Classic Menü";"Pouletsteak (CH) an Curry- Sauce   gebratener Reis  Gemüse  "
"0";"fleisch";"HOME ABEND";"Saftige Frikadelle Bratkartoffeln Cole Slaw Senf"
"1";"vegi";"GARDEN ABEND";"Crèpes mit Rosenkohl, Kohlraben, Zucchetti, Karotten  und Tomatensauce Tagessalat"
"0";"fleisch";"Minestra";""Gulash" Ungarische Gulaschsuppe Serviert mit einem Kleinbrot"
"1";"vegi";"Vegan Pot & Spoon";"Vegan Pot & Spoon, Peperoni aus dem Ofen gefüllt mit Tofuhack und Quinoa, Kräuterkartoffeln"
"0";"fleisch";"Ell";"Rahmschnitzel vom Schwein (CH) Champignonrahmsauce, Nudeln, glasierte Karotten"
"1";"vegi";"Veggie";"Sellerieschnitzel auf Gemüseeintopf mit schwarzen Bohnen, Tagessalat"
"0";"fleisch";"Classic";"Fleischkäse (CH) Thymianjus, Kartoffelstock Mediterran, Blattspinat"
"1";"vegi";"Bowl Green";"Dim Sum mit Edamame, Karotten,  Pak Choi, Sojasprossen, Avocado, Koriander, Ingwer und Chili Quinoa oder Sobanudeln Teryaki-Sauce oder Miso-Bouillon"
"0";"fleisch";"Bowl Meat";"Chicken mit Edamame, Karotten,  Pak Choi, Sojasprossen, Avocado, Koriander, Ingwer und Chili Quinoa oder Sobanudeln Teryaki-Sauce oder Miso-Bouillon"
"0";"fleisch";"Bowl Fish";"Crevetten mit Edamame, Karotten,  Pak Choi, Sojasprossen, Avocado, Koriander, Ingwer und Chili Quinoa oder Sobanudeln Teryaki-Sauce oder Miso-Bouillon"
"0";"fleisch";"LOCAL";"Diavolo-Bratwurst mit Biersauerkraut, gerösteten Zwiebeln und Pommes Frites"
"1";"vegi";"GARDEN";"Gnocchi alla piemontese mit Tomatensauce, Salbei, Trüffelöl und Reibkäse Grillgemüse"
"0";"fleisch";"HOME";"Zarte Pouletstreifen Zitronenpfeffersauce Kräuterreis Butterbohnen mit Mohn"
"0";"fleisch";"Trailer Signature";"Pita Gyros Gefülltes Pitabrot  mit Schweins- oder Pouletgyros Tzazikisauce, Kabis, Gurken, roten Zwiebeln  und Pommes frites"
"0";"fleisch";"Trailer Special";"Currywurst mit pikanter Sauce Pommes Frites Tagessalat"
"1";"vegi";"Trailer Vegetarian";"Gnocchi alla piemontese mit Tomatensauce, Salbei, Trüffelöl und Reibkäse Grillgemüse"
"1";"vegi";"Vegi Menü";"Pasta-Gratin  mit Gemüse  und Käseüberbacken  Tagessalat "
"0";"fleisch";"Classic Menü";"Pangasius im Tempura  gebratene Reisnudeln  mit Gemüse  Tagessalat  "
"0";"fleisch";"HOME ABEND";"Pork Slices Schweinsstreifen an grober Senfsauce mit Silberzwiebeln Farfalle Gedünsteter Wirz"
"0";"fleisch";"GARDEN ABEND";"Grünes Curry mit Tofu Wokgemüse an Soja  Limettenreis"
"0";"fleisch";"Pasta";"Pasta alle mandorle Pasta mit Olivenöl, Mandeln, Spinat, Tomaten und Speck"
"0";"fleisch";"Hausgemachte Pizza";"Pizza Buffet Ofenfrische Pizzastücke mit verschiedenen Belägen"
"0";"fleisch";"Classic";"Pasta mit Rindshackleisch (CH) Kürbiswürfeli und Kräutern an Tomatenrahmsauce, Tagessalat"
"1";"vegi";"Veggie";"Gemüserösti mit Brie überbacken, Preiselbeeren, Tagessalat"
"0";"fleisch";"Ell";"Pangasiusknusperli (VN), Ananas Joghurt Dip, mit gebratene Nudeln, Tagessalat"
"1";"vegi";"Vegan Pot & Spoon";"Vegan Pot & Spoon, Kaschmir Curry mit Cashews und Garam Masala, Koreanderreis"
"1";"vegi";"Bowl Green";"Dim Sum mit Edamame, Karotten,  Pak Choi, Sojasprossen, Avocado, Koriander, Ingwer und Chili Quinoa oder Sobanudeln Teryaki-Sauce oder Miso-Bouillon"
"0";"fleisch";"Bowl Meat";"Chicken mit Edamame, Karotten,  Pak Choi, Sojasprossen, Avocado, Koriander, Ingwer und Chili Quinoa oder Sobanudeln Teryaki-Sauce oder Miso-Bouillon"
"0";"fleisch";"Bowl Fish";"Crevetten mit Edamame, Karotten,  Pak Choi, Sojasprossen, Avocado, Koriander, Ingwer und Chili Quinoa oder Sobanudeln Teryaki-Sauce oder Miso-Bouillon"
"0";"fleisch";"LOCAL";"Young chefs @ local Pouletoberschenkel mit Speck und Dörrzwetschge Rüebli-Kartoffelstampf Mandelbohnen"
"0";"fleisch";"STREET";"The Deluxe Burger Beefburger oder Gemüseburger  im Sesambun, Hot BBQ Sauce,  Cheddar, Speck, Eisberg, Tomaten  und Country cuts"
"1";"vegi";"GARDEN";"Vegan Day Chili sin Carne Reis mit Maiskörner und Koriander Nachos"
"0";"fleisch";"HOME";"Wild Day Wildschweinpfeffer Spätzli Rotkraut"
"0";"fleisch";"Trailer Signature";"Pita Gyros Gefülltes Pitabrot  mit Schweins- oder Pouletgyros Tzazikisauce, Kabis, Gurken, roten Zwiebeln  und Pommes frites"
